species,fishing_mortality,group,juv_group
arrowtooth flounder,15163,Arrowtooth flounder,Juvenile flatfish
aurora rockfish,92,slope rockfish,Juvenile rockfish
bank rockfish,520.4,slope rockfish,Juvenile rockfish
big skate,983.7,Skates,NA
black rockfish,1238.4,Black rockfish,Juvenile rockfish
blackgill rockfish,185.7,slope rockfish,Juvenile rockfish
blue rockfish,446.6,nearshore rockfish,Juvenile rockfish
bocaccio,2297.6,shelf rockfish,Juvenile rockfish
brown rockfish,180.5,nearshore rockfish,Juvenile rockfish
cabezon,516.8,Lingcod,Juvenile roundfish
California scorpionfish,313.5,NA,NA
canary rockfish,1487,Canary rockfish,Juvenile rockfish
chilipepper,2761.6,shelf rockfish,Juvenile rockfish
China rockfish,44.8,shelf rockfish,Juvenile rockfish
copper rockfish,303.2,nearshore rockfish,Juvenile rockfish
cowcod,90.1,nearshore rockfish,Juvenile rockfish
curlfin sole,8.2,flatfish,Juvenile flatfish
darkblotched rockfish,838,slope rockfish,Juvenile rockfish
Dover sole,90903.9,flatfish,Juvenile flatfish
English sole,10528.4,flatfish,Juvenile flatfish
flag rockfish,23.5,shelf rockfish,Juvenile rockfish
flathead sole,35,flatfish,Juvenile flatfish
gopher rockfish,155.7,shelf rockfish,Juvenile rockfish
grass rockfish,60.3,nearshore rockfish,Juvenile rockfish
greenspotted rockfish,93.6,nearshore rockfish,Juvenile rockfish
greenstriped rockfish,1340.9,Greenstriped rockfish,Juvenile rockfish
honeycomb rockfish,9.9,shelf rockfish,Juvenile rockfish
kelp greenling,485.8,nearshore rockfish,Juvenile rockfish
kelp rockfish,27.7,nearshore rockfish,Juvenile rockfish
leopard shark,167.1,sharks,NA
lingcod,6096.2,Lingcod,Juvenile roundfish
longnose skate,2324.2,Skates,NA
longspine thornyhead,4457.3,Longspine thornyhead,Juvenile thornyhead
olive rockfish,225,nearshore rockfish,Juvenile rockfish
Pacific cod,3200,NA,NA
Pacific ocean perch,3847.5,Pacific Ocean Perch,Juvenile rockfish
Pacific sanddab,4801,flatfish,Juvenile flatfish
Pacific spiny dogfish,2481.1,dogfish,NA
petrale sole,3501.4,Petrale sole,Juvenile flatfish
quillback rockfish,12.8,nearshore rockfish,Juvenile rockfish
redbanded rockfish,55.7,slope rockfish,Juvenile rockfish
redstripe rockfish,270.4,nearshore rockfish,Juvenile rockfish
rex sole,2744,flatfish,Juvenile flatfish
rock sole,66.7,flatfish,Juvenile flatfish
rosethorn rockfish,15,shelf rockfish,Juvenile rockfish
rosy rockfish,47.5,nearshore rockfish,Juvenile rockfish
rougheye rockfish,228,slope rockfish,Juvenile rockfish
sablefish,8774.6,Sablefish,Juvenile roundfish
sand sole,773.2,flatfish,Juvenile flatfish
sharpchin rockfish,410.1,slope rockfish,Juvenile rockfish
shortraker rockfish,18.8,slope rockfish,Juvenile rockfish
shortspine thornyhead,3134.6,Shortspine thornyhead,Juvenile thornyhead
silvergray rockfish,159.9,shelf rockfish,Juvenile rockfish
speckled rockfish,39.6,shelf rockfish,Juvenile rockfish
splitnose rockfish,2862.6,Splitnose rockfish,Juvenile rockfish
squarespot rockfish,11.3,shelf rockfish,Juvenile rockfish
starry flounder,890.7,flatfish,Juvenile flatfish
starry rockfish,62.6,shelf rockfish,Juvenile rockfish
stripetail rockfish,64,shelf rockfish,Juvenile rockfish
treefish,13.4,nearshore rockfish,Juvenile rockfish
vermilion rockfish,279,shelf rockfish,Juvenile rockfish
widow rockfish,13580.2,Widow rockfish,Juvenile rockfish
yelloweye rockfish,83.8,Yelloweye rockfish,Juvenile rockfish
yellowmouth rockfish,193.3,slope rockfish,Juvenile rockfish
yellowtail rockfish,7516.5,Yellowtail rockfish,Juvenile rockfish